Iterasyon,Egitim Ort. Odul,Degerlendirme Ort. Odul,Toplam Adim
1,0,0,0
2,-221625.24000000022,0,0
3,-164098.5000000003,0,0
4,-151859.08,0,0
5,-164146.06000000006,0,0
6,nan,0,0
7,-173973.37999999995,0,0
8,-106262.19999999981,0,0
9,-177420.19999999972,0,0
10,-194346.95999999985,0,0
11,nan,0,0
12,-191363.72000000038,0,0
13,-147383.10000000003,0,0
14,-197923.61999999994,0,0
15,-183647.7800000002,0,0
16,nan,0,0
17,-120435.02000000014,0,0
18,-122311.63999999998,0,0
19,-169269.47999999998,0,0
20,-152338.0599999999,0,0
21,nan,0,0
22,-143675.92000000004,0,0
23,-159287.41999999993,0,0
24,-196545.42000000022,0,0
25,-225072.68000000023,0,0
26,nan,0,0
27,-186364.5600000001,0,0
28,-151921.2999999998,0,0
29,-124175.28000000003,0,0
30,-148668.03999999995,0,0
31,nan,0,0
32,-207577.15999999957,0,0
33,-191041.63999999972,0,0
34,-215979.02000000043,0,0
35,-178729.28000000003,0,0
36,nan,0,0
37,-178606.68,0,0
38,-202575.08000000002,0,0
39,-124356.26000000008,0,0
40,-192229.8799999999,0,0
41,nan,0,0
42,-41070.51999999997,0,0
43,-202741.7399999999,0,0
44,-213314.2600000002,0,0
45,-174768.2200000002,0,0
46,nan,0,0
47,-180035.76000000004,0,0
48,-104828.96000000014,0,0
49,-159089.64000000033,0,0
50,-243709.2799999998,0,0
51,nan,0,0
52,-210705.06000000008,0,0
53,-163716.0999999999,0,0
54,-171899.60000000038,0,0
55,-117652.20000000016,0,0
56,nan,0,0
57,-251278.86000000004,0,0
58,-198730.39999999976,0,0
59,-222789.93999999997,0,0
60,-87299.94000000009,0,0
61,nan,0,0
62,-172388.02000000008,0,0
63,-217147.86,0,0
64,-182542.76000000007,0,0
65,-177138.25999999992,0,0
66,nan,0,0
67,-191391.47999999978,0,0
68,-112748.08000000002,0,0
69,-229023.76,0,0
70,-224069.56000000026,0,0
71,nan,0,0
72,-180790.10000000012,0,0
73,-199906.8200000004,0,0
74,-198671.5999999998,0,0
75,-168943.13999999984,0,0
76,nan,0,0
77,-202661.28000000032,0,0
78,-149797.47999999998,0,0
79,-237132.5599999996,0,0
80,-220636.90000000037,0,0
81,nan,0,0
82,-145375.60000000038,0,0
83,-173848.43999999997,0,0
84,-207534.96000000017,0,0
85,-135940.30000000022,0,0
86,nan,0,0
87,-140598.84000000005,0,0
88,-223102.76000000013,0,0
89,-186663.90000000002,0,0
90,-244728.6799999999,0,0
91,nan,0,0
92,-74063.42000000003,0,0
93,-108183.84000000003,0,0
94,-214707.8999999999,0,0
95,-133257.71999999988,0,0
96,nan,0,0
97,-145419.90000000008,0,0
98,-206268.99999999997,0,0
99,-136024.71999999986,0,0
100,-116444.66000000009,0,0
101,nan,0,0
102,-277918.8,0,0
103,-164842.8200000002,0,0
104,-254071.78000000003,0,0
105,-209013.99999999977,0,0
106,nan,0,0
107,-214042.86000000002,0,0
108,-94452.91999999988,0,0
109,-192301.0600000001,0,0
110,-174344.61999999988,0,0
111,nan,0,0
112,-102589.18000000008,0,0
113,-228658.70000000007,0,0
114,-217697.0800000002,0,0
115,-225815.55999999974,0,0
116,nan,0,0
117,-201838.59999999995,0,0
118,-224912.43999999986,0,0
119,-216366.8399999997,0,0
120,-219281.64000000065,0,0
121,nan,0,0
122,-157112.94,0,0
123,-196276.74000000005,0,0
124,-225843.31999999995,0,0
125,-164926.26,0,0
126,nan,0,0
127,-157537.02000000002,0,0
128,-215062.2800000002,0,0
129,-171273.26,0,0
130,-80445.98000000003,0,0
131,nan,0,0
132,-145690.98000000016,0,0
133,-250037.25999999995,0,0
134,-167948.90000000005,0,0
135,-161930.12,0,0
136,nan,0,0
137,-220102.90000000008,0,0
138,-139673.81999999995,0,0
139,-214047.76,0,0
140,-237710.83999999973,0,0
141,nan,0,0
142,-197382.09999999992,0,0
143,-129557.94000000022,0,0
144,-232498.3399999999,0,0
145,-202273.3400000005,0,0
146,nan,0,0
147,-182187.6200000002,0,0
148,-194741.02000000002,0,0
149,-161793.6399999999,0,0
150,-153186.9199999998,0,0
151,nan,0,0
152,-117131.63999999998,0,0
153,-212911.59999999945,0,0
154,-151668.2399999999,0,0
155,-185706.96000000014,0,0
156,nan,0,0
157,-163777.22000000003,0,0
158,-131299.00000000012,0,0
159,-195322.9800000001,0,0
160,-183057.74000000028,0,0
161,nan,0,0
162,-200926.0999999999,0,0
163,-207443.8800000001,0,0
164,-51574.94000000003,0,0
165,-206761.67999999988,0,0
166,nan,0,0
167,-185614.58000000016,0,0
168,-201383.59999999986,0,0
169,-138946.52000000008,0,0
170,-200539.62000000026,0,0
171,nan,0,0
172,-214416.46000000002,0,0
173,-119571.00000000006,0,0
174,-177009.40000000002,0,0
175,-206007.03999999946,0,0
176,nan,0,0
177,-136278.05999999994,0,0
178,-182072.66000000006,0,0
179,-183378.78000000026,0,0
180,-149336.82000000044,0,0
181,nan,0,0
182,-243433.56000000035,0,0
183,-181706.5200000002,0,0
184,-168632.41999999993,0,0
185,-232347.38000000047,0,0
186,nan,0,0
187,-196051.64,0,0
188,-183045.52000000022,0,0
189,-154697.46000000008,0,0
190,-198176.6399999999,0,0
191,nan,0,0
192,-135239.37999999974,0,0
193,-140975.08,0,0
194,-165346.3200000001,0,0
195,-128750.55999999985,0,0
196,nan,0,0
197,-202348.3,0,0
198,-196276.07999999996,0,0
199,-87549.82000000007,0,0
200,-199628.26000000015,0,0
201,nan,0,0
202,-267751.7199999999,0,0
203,-112288.74000000002,0,0
204,-141600.16000000003,0,0
205,-216657.68000000028,0,0
206,nan,0,0
207,-234541.13999999993,0,0
208,-160302.24000000008,0,0
209,-191239.68000000002,0,0
210,-270913.4200000002,0,0
211,nan,0,0
212,-218960.05999999976,0,0
213,-127671.10000000014,0,0
214,-257370.14000000013,0,0
215,-253906.68000000023,0,0
216,nan,0,0
217,-210516.03999999992,0,0
218,-145247.14000000016,0,0
219,-174434.54000000004,0,0
220,-184395.28000000003,0,0
221,nan,0,0
222,-111570.10000000006,0,0
223,-152073.58000000005,0,0
224,-218109.6799999996,0,0
225,-203911.36000000028,0,0
226,nan,0,0
227,-153378.36000000016,0,0
228,-175074.90000000008,0,0
229,-163139.49999999988,0,0
230,-170731.17999999996,0,0
231,nan,0,0
232,-185559.5800000005,0,0
233,-250578.50000000012,0,0
234,-138425.52000000002,0,0
235,-186282.36000000002,0,0
236,nan,0,0
237,-193210.62,0,0
238,-184531.25999999995,0,0
239,-108331.00000000003,0,0
240,-226285.20000000024,0,0
241,nan,0,0
242,-151139.41999999998,0,0
243,-165619.2800000001,0,0
244,-195680.8800000003,0,0
245,-198408.12,0,0
246,nan,0,0
247,-212142.30000000002,0,0
248,-165661.03999999986,0,0
249,-139663.36000000004,0,0
250,-121094.16000000003,0,0
251,nan,0,0
252,-102934.52000000003,0,0
253,-292732.7399999994,0,0
254,-159309.04000000004,0,0
255,-238848.97999999992,0,0
256,nan,0,0
257,-164072.36,0,0
258,-198292.9200000004,0,0
259,-234710.89999999997,0,0
260,-153573.4999999998,0,0
261,nan,0,0
262,-227641.96000000002,0,0
263,-93353.00000000022,0,0
264,-227448.3800000003,0,0
265,-120273.38000000009,0,0
266,nan,0,0
267,-229690.9800000003,0,0
268,-141859.26000000013,0,0
269,-203190.95999999985,0,0
270,-186274.80000000013,0,0
271,nan,0,0
272,-164547.69999999992,0,0
273,-175441.3600000001,0,0
274,-168367.19999999995,0,0
275,-202049.74000000014,0,0
276,nan,0,0
277,-237799.88000000024,0,0
278,-215065.0200000001,0,0
279,-140623.18000000008,0,0
280,-171538.91999999984,0,0
281,nan,0,0
282,-233651.6799999998,0,0
283,-193527.14000000007,0,0
284,-219014.07999999984,0,0
285,-123673.8999999999,0,0
286,nan,0,0
287,-201706.46000000002,0,0
288,-186067.35999999993,0,0
289,-266399.4600000001,0,0
290,-243338.78000000014,0,0
291,nan,0,0
292,-128036.81999999977,0,0
293,-117082.5199999999,0,0
294,-252034.93999999968,0,0
295,-239952.17999999947,0,0
296,nan,0,0
297,-96044.72000000003,0,0
298,-129065.74000000005,0,0
299,-219039.82,0,0
300,-154223.40000000008,0,0
301,nan,0,0
302,-182353.67999999976,0,0
303,-126151.34000000003,0,0
304,-214743.87999999995,0,0
305,-137701.89999999994,0,0
306,nan,0,0
307,-204686.50000000006,0,0
308,-231797.02000000008,0,0
309,-216067.3600000001,0,0
310,-189989.88,0,0
311,nan,0,0
312,-150514.02000000014,0,0
313,-215825.23999999973,0,0
314,-137795.28000000012,0,0
315,-139476.78,0,0
316,nan,0,0
317,-232673.2200000001,0,0
318,-225521.33999999997,0,0
319,-198693.23999999982,0,0
320,-236956.66000000044,0,0
321,nan,0,0
322,-177945.74000000034,0,0
323,-228298.94000000032,0,0
324,-201716.96000000054,0,0
325,-138605.84000000008,0,0
326,nan,0,0
327,-124641.99999999991,0,0
328,-107691.70000000008,0,0
329,-148273.54000000015,0,0
330,-182914.4800000001,0,0
331,nan,0,0
332,-175728.1400000007,0,0
333,-171635.0200000001,0,0
334,-214929.5000000004,0,0
335,-216090.40000000005,0,0
336,nan,0,0
337,-211375.67999999982,0,0
338,-195304.36000000057,0,0
339,-203096.43999999997,0,0
340,-114352.3999999999,0,0
341,nan,0,0
342,-189993.26000000024,0,0
343,-144543.06000000017,0,0
344,-195649.86000000002,0,0
345,-146428.37999999998,0,0
346,nan,0,0
347,-176642.27999999985,0,0
348,-251921.84000000003,0,0
349,-200600.68000000034,0,0
350,-99479.45999999989,0,0
351,nan,0,0
352,-137885.9800000001,0,0
353,-179943.5199999996,0,0
354,-156247.2200000002,0,0
355,-172895.25999999995,0,0
356,nan,0,0
357,-162731.78000000006,0,0
358,-83505.95999999988,0,0
359,-201832.47999999986,0,0
360,-247070.24000000017,0,0
361,nan,0,0
362,-226709.40000000005,0,0
363,-135077.12000000026,0,0
364,-169102.30000000002,0,0
365,-191746.05999999994,0,0
366,nan,0,0
367,-185165.5799999999,0,0
368,-225135.64000000004,0,0
369,-253987.18000000017,0,0
370,-149500.6599999999,0,0
371,nan,0,0
372,-155608.13999999966,0,0
373,-194154.0600000001,0,0
374,-175960.51999999996,0,0
375,-187103.37999999995,0,0
376,nan,0,0
377,-241435.1199999995,0,0
378,-170105.49999999994,0,0
379,-191744.57999999984,0,0
380,-240392.36000000004,0,0
381,nan,0,0
382,-194652.68000000017,0,0
383,-183590.43999999992,0,0
384,-182162.1399999999,0,0
385,-219669.95999999985,0,0
386,nan,0,0
387,-252939.78000000035,0,0
388,-214054.32000000007,0,0
389,-252208.41999999993,0,0
390,-166011.06000000017,0,0
391,nan,0,0
392,-152578.85999999975,0,0
393,-187807.82,0,0
394,-186556.1999999999,0,0
395,-184031.44000000006,0,0
396,nan,0,0
397,-190753.2799999999,0,0
398,-150865.35999999987,0,0
399,-219644.82000000024,0,0
400,-136873.42000000004,0,0
401,nan,0,0
402,-211507.17999999996,0,0
403,-168993.92000000004,0,0
404,-137049.76000000007,0,0
405,-256767.58000000013,0,0
406,nan,0,0
407,-214926.53999999978,0,0
408,-208809.20000000013,0,0
409,-191706.23999999985,0,0
410,-241396.7399999998,0,0
411,nan,0,0
412,-247409.55999999982,0,0
413,-222765.80000000005,0,0
414,-138836.02000000014,0,0
415,-177597.19999999955,0,0
416,nan,0,0
417,-203162.22000000003,0,0
418,-172546.3599999999,0,0
419,-142649.77999999997,0,0
420,-174141.08000000002,0,0
421,nan,0,0
422,-230567.28000000003,0,0
423,-167372.3200000003,0,0
424,-180093.68000000014,0,0
425,-108636.7,0,0
426,nan,0,0
427,-198826.7400000001,0,0
428,-125025.64000000007,0,0
429,-163753.41999999998,0,0
430,-95942.92,0,0
431,nan,0,0
432,-215730.34000000005,0,0
433,-143296.09999999998,0,0
434,-216676.34000000014,0,0
435,-161180.7400000001,0,0
436,nan,0,0
437,-229855.4800000001,0,0
438,-221494.41999999998,0,0
439,-220904.17999999988,0,0
440,-203515.81999999998,0,0
441,nan,0,0
442,-233497.63999999996,0,0
443,-219840.18000000017,0,0
444,-184392.47999999995,0,0
445,-158351.51999999996,0,0
446,nan,0,0
447,-217377.8400000002,0,0
448,-239655.58000000013,0,0
449,-264218.3600000003,0,0
450,-164540.89999999967,0,0
451,nan,0,0
452,-226065.48,0,0
453,-217865.26000000015,0,0
454,nan,0,0
455,-160576.63999999987,0,0
456,-231370.98,0,0
457,-211844.20000000013,0,0
458,-154314.14,0,0
459,nan,0,0
460,-210512.8600000001,0,0
461,-111103.44000000003,0,0
462,-263992.5200000006,0,0
463,-256898.8600000004,0,0
464,nan,0,0
465,-222591.52,0,0
466,-151375.0400000003,0,0
467,-190289.91999999995,0,0
468,-225674.4400000003,0,0
469,nan,0,0
470,-185612.90000000008,0,0
471,-57700.779999999984,0,0
472,-182878.58000000007,0,0
473,-231688.9599999999,0,0
474,nan,0,0
475,-180169.45999999988,0,0
476,-232879.26000000007,0,0
477,-185329.05999999988,0,0
478,-159316.24000000022,0,0
479,nan,0,0
480,-211646.49999999994,0,0
481,-122421.47999999978,0,0
482,-149306.58000000007,0,0
483,-71959.52000000002,0,0
484,nan,0,0
485,-174858.00000000006,0,0
486,-252100.4400000003,0,0
487,-177515.63999999972,0,0
488,-216673.96000000002,0,0
489,nan,0,0
490,-155156.32000000012,0,0
491,-220700.31999999977,0,0
492,-197780.67999999993,0,0
493,-225227.33999999965,0,0
494,nan,0,0
495,-172048.71999999997,0,0
496,-192199.08000000013,0,0
497,-140421.5199999998,0,0
498,-129123.62000000004,0,0
499,nan,0,0
500,-152869.29999999996,0,0
